task,mean disprod_1,mean disprod_3,mean disprod_5,mean gurobiplan_1,mean gurobiplan_3,mean gurobiplan_5,mean jaxplan_1,mean jaxplan_3,mean jaxplan_5,mean noop,mean prost_1,mean prost_10,mean prost_2,mean prost_3,mean prost_4,mean prost_5,mean prost_6,mean prost_7,mean prost_8,mean prost_9,mean random,std disprod_1,std disprod_3,std disprod_5,std gurobiplan_1,std gurobiplan_3,std gurobiplan_5,std jaxplan_1,std jaxplan_3,std jaxplan_5,std noop,std prost_1,std prost_10,std prost_2,std prost_3,std prost_4,std prost_5,std prost_6,std prost_7,std prost_8,std prost_9,std random
GameOfLife_04,,,,358.35,352.45,345.55,357.6,363.85,355.35,87.7,358.4,,,356.7,,352.6,,,,,138.4,,,,25.790065916937863,36.941135607882984,56.84230378863967,24.195867415738583,24.501581581604075,24.81990128908655,68.43544403304476,21.85497654997598,,,27.48108440364026,,39.04663877979768,,,,,76.69706643672886
GameOfLife_05,,,,306.25,298.15,271.5,274.6,292.8,299.9,137.15,302.55,,,301.8,,302.7,,,,,166.35,,,,24.54358368290988,37.374155508853974,46.33411270327727,22.154909162531,36.09792237788762,29.11511634872854,48.68498228406785,20.572979852223646,,,22.391069648411175,,19.98274255451438,,,,,54.704912942074955
GameOfLife_06,,,,269.3,266.0,268.2,267.75,270.0,260.65,210.95,282.35,,,279.0,,281.6,,,,,227.2,,,,41.44164572021723,32.657311585615865,48.42581955940447,25.498774480354932,26.903531366718383,27.399406927888055,38.34119846848818,25.52307779246069,,,28.963770472782027,,22.328009315655525,,,,,20.227703774773847
GameOfLife_07,,,,500.65,497.4,499.85,484.45,495.45,496.2,212.0,504.45,,,505.4,,503.25,,,,,209.9,,,,22.817263201356994,23.159015523117557,21.795125601840425,30.617764451376914,24.042618409815518,41.29721540249415,101.14099070110002,34.00069852223627,,,19.368531178176625,,20.801141795584204,,,,,84.53868936764988
GameOfLife_08,,,,447.65,463.5,462.25,459.95,454.5,448.2,248.7,444.45,,,458.9,,458.85,,,,,273.75,,,,40.70537433804043,21.413780609691507,27.51885717103819,19.709071515421524,21.216738674923626,35.566276161555066,72.17277880198323,69.89883761551403,,,21.243587267690923,,24.370627813004734,,,,,75.22757140836065
GameOfLife_09,,,,424.2,428.3,411.7,420.15,413.75,420.0,260.85,417.25,,,419.65,,419.15,,,,,278.7,,,,32.79725598278002,30.747520225214913,61.69448921905424,31.60265020532297,34.758991642451306,46.473648447265255,52.952124603267805,19.426463908802344,,,30.877621346211242,,24.611531849927587,,,,,62.13139303122054
GameOfLife_10,,,,606.95,605.2,609.5,479.45,555.8,583.85,123.15,586.85,,,603.2,,612.9,,,,,161.45,,,,41.85985547036683,27.01962249921342,40.16279372752847,38.05321931190579,41.04217343172752,34.71350601711097,76.7745237692817,43.63745524202804,,,40.76346403337185,,36.0179122104544,,,,,77.67977536012833
HVAC_01,-194532.57493864727,-194532.57493864727,-194532.57493864727,-1116422.4151312998,-1116422.4151312998,-1116422.4151312998,-166305.71064606373,-152810.07647707014,-154302.71306333382,-1118313.334027139,,,,,,,,,,,-1119888.1361323323,2439.09004264289,2439.09004264289,2439.09004264289,2.3283064365386963e-10,2.3283064365386963e-10,2.3283064365386963e-10,29395.058192143908,2215.6415222966066,7066.78346385716,2.3283064365386963e-10,,,,,,,,,,,252.66164840461732
HVAC_02,-197553.31590585384,-197266.46858680053,-197266.46858680053,-1066231.6453144958,-1408887.4171343131,-1066231.6453144958,-169554.16308277333,-169399.44664260474,-170133.04912017199,-1066231.6453144958,,,,,,,,,,,-1067184.4657909356,14196.618158950136,12853.222286606595,12853.222286606595,214851.35913373836,384384.407917837,214851.35913373836,12857.96588508451,12644.685483267405,13018.32641696216,214851.35913373836,,,,,,,,,,,214789.82963290592
HVAC_03,-332567.2038243023,-333357.94085338723,-333357.94085338723,-1960990.5184926284,-1803574.3043591597,-8860278.810265275,-273724.7761243309,-354355.49334499193,-395810.26650448435,-1803574.3043591597,,,,,,,,,,,-1806351.2374025963,15496.354517236876,14423.145970592119,14423.145970592119,350241.1049830438,247689.46867289965,1175176.388728505,18429.220830514096,356312.7399099944,17826.704380841726,247689.46867289965,,,,,,,,,,,247423.0806999927
HVAC_04,-769827.991468665,-769827.991468665,-769827.991468665,-4131236.6910182023,-4131236.6910182023,-4131236.6910182023,-687836.5935951505,-670004.9467937078,-651471.9146542524,-4131236.6910182023,,,,,,,,,,,-4135730.5529092094,28159.610535633456,28159.610535633456,28159.610535633456,368768.2911351897,368768.2911351897,368768.2911351897,22276.009910681234,30449.788425393097,23645.7171954294,368768.2911351897,,,,,,,,,,,368983.15470412374
HVAC_05,-1246009.281570723,-1246009.281570723,-1246009.281570723,-5156729.011730195,-5156729.011730195,-5156729.011730195,-1138282.8714555723,-1124028.8432451915,-1132933.0148822144,-5156729.011730195,,,,,,,,,,,-5165768.060304752,28969.631551397524,28969.631551397524,28969.631551397524,667212.645288672,667212.645288672,667212.645288672,36703.67240470133,38344.74112522326,72728.23440694946,667212.645288672,,,,,,,,,,,666816.6343933708
MarsRover_01,-1.3313211178348152,-1.3313211178348152,-1.3313211178348152,0.0,0.0,0.0,-3.746361559209572e-10,-6.219172081519581e-12,-2.816540687453865e-11,0.0,,,,,,,,,,,-101.4361272092624,0.114813767156285,0.114813767156285,0.114813767156285,0.0,0.0,0.0,4.179113045650219e-10,2.710874261583335e-11,1.2277016226981979e-10,0.0,,,,,,,,,,,5.9363566151439295
MarsRover_02,-2.139888469318529,-2.139888469318529,-3.3889725747683124,0.0,0.0,0.0,9.375766914416937,15.831279507274036,-1.2871624027675777e-11,0.0,,,,,,,,,,,-201.73949738580765,4.084090079789625,4.084090079789625,0.04025650986478147,0.0,0.0,0.0,8.027597176623978,5.541790845132285,5.610610837588869e-11,0.0,,,,,,,,,,,9.479566908463594
MarsRover_03,25.5044766296427,25.5044766296427,25.5044766296427,0.0,0.0,0.0,46.00480716575363,44.96400259196108,37.39155893006823,0.0,,,,,,,,,,,-298.7027149602092,12.164893798787496,12.164893798787496,12.164893798787496,0.0,0.0,0.0,3.43869565184561,7.119437265204835,0.8927834190209801,0.0,,,,,,,,,,,13.309422780401517
MarsRover_04,5.835729541943773,5.835729541943773,5.835729541943773,8.753052164537612,8.753052164537612,8.753052164537612,22.637634466934365,3.6956894372608824,21.604142281687196,0.0,,,,,,,,,,,-241.81177877528734,7.089528826249891,7.089528826249891,7.089528826249891,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,4.005080451477912,4.9609142308410545,8.34054562185497,0.0,,,,,,,,,,,13.721157243194288
MarsRover_05,37.25529165512337,37.25529165512337,37.25529165512337,21.064939844939765,21.064939844939765,21.064939844939765,99.74028142777938,96.45927507677992,27.782381350154047,0.0,,,,,,,,,,,-230.69069181693777,20.879887211514927,20.879887211514927,20.879887211514927,0.0,0.0,0.0,5.063776413346626,16.059775898647032,12.662569935357414,0.0,,,,,,,,,,,13.686626759154784
MountainCar_01,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
MountainCar_02,55.0,55.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,,,,,,,,,,,0.0,49.749371855331,49.749371855331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
MountainCar_03,85.0,85.0,85.0,0.0,0.0,0.0,70.0,100.0,100.0,0.0,,,,,,,,,,,0.0,35.70714214271425,35.70714214271425,35.70714214271425,0.0,0.0,0.0,45.8257569495584,0.0,0.0,0.0,,,,,,,,,,,0.0
